,Product,Top_10_Similar_Products
10,Халаасны сальфетка Selpak Hanky 10ш 3 давхар зөөлөн TUR,"['Будаатай шөл Талын Монгол 120гр цагаан будаа нунтагласан борцтой MNG', 'Ус Хужирт 330мл Байгалийн эрдэстэй MNG', 'Нойтон салфетка Ариун 30ш MNG', 'Кофе Maxim 20ш 3in1 зөөлөн амттай хайрцагтай KOR', 'Ундаа Сэлэнгэ Оргилуун 330 мл Алтангагнуур эмийн ургамалтай лааз MNG', 'Нойтон салфетка Ариун 10ш MNG', 'Цэвэр ус Aqua crystal 500мл пет савлагаатай MNG', 'Шоколад Alpen gold 100гр орео хавчуургатай RUS', 'Хуурай сальфетка Ариун 100ш 25смх25см MNG', 'Шоколад Kinder 50гр сүүн кремээр дүүргэгдсэн  ITA']"
11,"Нарийн боов Жимст 900гр буудайн гурил, жимсний чанамалтай зөөлөн Өгөөж MNG","['Балын харандаа номин логотой шар баллууртай STD -162 10', 'Бээлий ажлын SOFTI SS24 Хуруу Мэдрэгчтэй Даавуун  Саарал', 'Нарийн боов Маюур 900гр Буудайн гурил далдуу модны тос бал бурам Өгөөж MNG', 'Зургийн дэвтэр А4  24 хуудастай Олон төрлийн зурагтай Нуруутай', 'Хичээлийн дэвтэр Мэдлэгтэй дэвтэр Цагаан Тууш шугамтай 12 хуудастай MGL', 'Хичээлийн дэвтэр Мэдлэгтэй дэвтэр Цагаан өнгийн Элемент 12 хуудастай MGL', 'Хичээлийн дэвтэр Мэдлэгтэй дэвтэр Цагаан Тоо Тууш шугамтай 24 хуудастай MGL', 'Шил арчигчийн шингэн Mazaalai 1.8л зуны автомашин болон шилэн эдлэл MNG', 'Бэлэг Хүүхдийн баярын Хүслийн багц RUS', 'Зургийн дэвтэр Мэдлэгтэй дэвтэр Олон өнгөт Зурагтай MGL']"
12,Цай MacTea 3:1 18гр*1ш Жимсний амттай Найруулдаг Ууттай MYS,"['Тараг Амтлаг Бифидо 55гр Хөлдөөсөн Дархлаа дэмжинэ MNG', 'Тамхи Raison french lemon compact  хагалдаг капсултай Никотин 0.4мг/ш KOR ', 'Жигнэмэг Супер контик 50гр самартай RUS', 'Дотор махан таташ кг Мах импекс *3397* MNG', 'Халуун шоколад MacChocolate 3:1 25гр*1ш  Найруулдаг Ууттай MYS', 'Бэлдмэл Vitos 100мл барагшуунтай MGL', 'Жигнэмэг Супер-Контик самартай 100гр ууттай RUS', 'Зайрмаг Эскимос 80гр чебоксарское лакомство цөцгийтэй RUS', 'Жигнэмэг Янзага 90гр дээд зэргийн гурилаар ууттай MNG', 'Kекс Adicto 36гр шоколадны кремтэй TUR']"
13,Кофе MacCoffee Gold 16гр*1ш Сүү сахартай Сублимацийн аргаар хатаасан MYS,"['Кофе Кофе jacobs классик 12гр 1 ширхэг жижиглэн', 'Кофе Nescafe 3v1 classic display 14.5гр ширхэгийн RUS', 'Цай Хаан 12гр ууттай сүүний агууламж өндөртэй түргэн уусдаг SGP', 'Кофе Nescafe 3v1 caramel latte 14.5гр RUS', 'Кофе Nescafe 3v1 Strong display 14.5гр ширхэгийн RUS', 'Аарц Зөв хатаасан чацарганатай 1ш ууттай MNG', 'Кофе jacobs крепкий 12гр ширхэг жижиглэн', 'Цай MacCereal 3:1 28гр*1ш Сүү сахартай Эрдэнэшишийн Найруулдаг Ууттай MYS', 'Кофе  Jacobs 2гр  ууталж  савласан  сүү сахар  самартай  KZ', 'Кофе Jacobs monarch 15гр плюс карамель 3в1 24х1015гр ширхэгээр RUS']"
14,Варень G&G Erdbeer  450гр Гүзээлзгэнэтэй Шилтэй DEU,"['Аяга угаагч порлон 5ширхэг цэвэрлэгээний ахуйн хэрэглээний', 'Гал тогооны салфетка Урин 1ш MNG', 'Пай жигнэмэг Orion 180гр хайрцагтай манго жимсний чанамалтай KOR', 'Шүдний оо Colgate 120мл Хулсны нүүрстэй цайруулагчтай RUS', 'Цаасан алчуур угаадаг Scott 1ш 63таслагчтай KOR', 'Шүдний оо Himalaya  200гр Dental cream үрэвслийн эсрэг IND', 'Хиам Бяслагтай салями 450гр Үхэр хонь гахайн мах өөх агууламж Уурагтай MNG', 'Хиам Одтой 400гр Салями үхэр гахайн махан давхар утлагат MNG', 'Молоко Главпродукт  270гр Сгущенка Юбилейная Шахдаг RUS', 'Жигнэмэг Чоко пай Orion 360гр 30гр*12ш чокочип болон жүржтэй цэнхэр RUS']"
15,Амтлагч Яншуй Петрушка Приправыч 7гр Хоолонд амт үнэр чимэглэл хийх RUS,"['Үзэм шар ЗА 500гр В1 В2 РР витамин фосфор кальци цайр натри агуулдаг UZB', 'Соус Kenko 3 төрлийн Гүнжидийн үртэй 490мл салат амтлагч JPN', 'Газ Wonderer Ахуйн 220гр 4ш Багц 0.2мм 60% хий 37%-Бутан 3%-Пропан', 'Амтлагч Хар перец Шувуутайн гол 40гр халуун ногооны төрөл', 'Гал тогооны алчуур 50*40см  Илгэн материалтай', 'Ширээний сальфетка Ариун 150ш Хайрцагтай MNG', 'Хуурай сальфетка Ариун 100ш Энгийн 2,5*2,5см MNG', 'Кетчуп Kagome 300гр нөөшлөгч будаггүй JPN', 'Сүү Сайхан 1000мл 3.2% тослогтой Ариутгасан Кальци Уургаар баялаг MNG', 'Кимчи Наса 500гр ууттай хоол боловсруулалтыг дэмжинэ MNG']"
16,Зөөхий Сайн 450гр 20% тослогтой A D E амин дэмээр баялаг MNG,"['Саван гар нүүрийн Safeguard 90гр бактерийн эсрэг PAK', 'Жигнэмэг Любятово топленое молоко 444гр өтгөрүүлсэн сүүтэй RUS', 'Элэгний нухаш Аавын дуртай 230гр шилтэй MNG', 'Шар будаа Слава 1кг В аминдэм, эрдэс бодис, шим тэжээлээр баялаг RUS', 'Эдийн саван Popular шар 3 ширхэг 150гр IDN', 'Жүүс Монгол лууван нухаш 2л пет MNG', 'Элэгний нухаш Ээжийн дуртай 230гр MNG', 'Бэлэн хоол Yopokki Догбуги 260гр Бяслагтай ууттай KOR', 'Молоко Главпродукт 270гр Сгущенка ГОСТ Шахдаг RUS', 'Нүүр цэвэрлэгч хөвөн ELKOS 140ш 100% хөвөн DEU']"
17,Тараг Сайн Бифидо 900мл 2.5% тослогтой Амин дэмээр баялаг MNG,"['Талх Пүмпэрникель 500гр 100% хар, эрдэс бодисоор баялаг Кичинкинг MNG', 'Йогурт Сайн 900мл Пробиотик 2,5% тослогтой Ойн олон төрлийн жимстэй MNG', 'Хоол Наашаа цаашаа 800гр халааж хэрэглэх', 'Элэгний нухаш Био 100гр ногоон сонгинотой тугалган савтай MNG', 'Жигнэмэг Mc Vities 400гр хайрцаглан савласан бүхэл үрийн GBR', 'Хэрчсэн гурил бүхэл үрийн 500гр Хүнс сервис', 'Далайн байцаа SSS 5гр 3ш Усан үзэмийн тостой KOR', 'Тараг Органик 500мл Кальцийн агууламжтай Чихэргүй MNG', 'Амтлагч Сармис Чеснок Приправыч 50г хатаасан Дархлаа сайжруулна RUS', 'Жүүс Kagome 720мл Нэг өдрийн ногооны пет савлагаатай JPN']"
18,Өндөг Баян бор 15ш иодтой уургаар баялаг MNG,"['Сирок  40гр олон төрлийн жистэй  сүүн амттай  RUS', 'Зайрмаг сирок 40гр олон төрлийн жимсний амттай  кальциар баялаг RUS', 'Пиво Bavaria 8/6 Gold 500мл  Амуу соёолж Зөрөг цэцэг 6.5% лаазтай NDL', 'Варень G&G Erdbeer  450гр Гүзээлзгэнэтэй Шилтэй DEU', 'Сырок Поспел Лагуна 40гр Аарц Нэрс жимсний чанамалтай RUS', 'Сырок Поспел Лагуна 40гр Аарц Какаоны чанамалтай RUS', 'Шар сүүний ундаа Vitafit 190мл Төмөр Цайр Иодын агууламжтай MNG', 'Шоколад Snikcers лесные орехи 81гр ойн самартай карамель батончик RUS', 'Сырок Поспел Лагуна 40гр Аарцтай Гүзээлзгэнэ жимсний чанамалтай RUS', 'Молоко Главпродукт  920гр Сгущенка пет савлагаатай  RUS']"
19,Үзэм бор Султан Абджуш ЗА 500гр эрдэс бодисоор баялаг UZB,"['Хиам Зочид 800гр чанамал MNG', 'Ааруул Идээний дээж 400гр Хорхой Чихэрлэг Кальциар баялаг MNG', 'Өргөст хэмх Urbanek 680гр даршилсан POL', 'Вандуй Vita 184гр', 'Өргөст хэмх Urbanek 900гр даршилсан POL', 'Ширээний сальфетка Ариун 150ш Хайрцагтай MNG', 'Майонез Улаанбаатар 500гр 70% тослог Транс тосгүй MNG', 'Хиам Дээж 600гр чанамал Мах Импекс MNG', 'Вандуй ногоон Novofruct 200гр нөөшилсөн SVK', 'Нөөшилсөн Лечо Bagro 550гр Мөөг сонгино улаан чинжүүтэй лечо MNG ']"
20,Набор Belgian Seashells 250гр Далайн дун хэлбэртэй  Сүүтэй шоколад BEL  ,"['Өрмөнцөр зөөлөн Акульчев 100гр жимстэй цөцгийтэй RUS', 'Жүүс Cocomong YOGUR 200мл гүзээлзгэнийн амт KOR', 'Эрүүл мэндийн ундаа Bacchus D 100мл Солонгос 019108', 'Айраг Амь 2л Булган  Бариултай савлагаатай', 'Үрэл Nips 70гр самартай шоколадтай олон өнгийн ууттай MYS', 'Үрэл Зөв 450гр аарцан үрэл энгийн ууттай MNG', 'Ус Хужирт 500мл Байгалийн эрдэст хийжүүлсэн пет савлагаатай MNG', 'Шоколад Bourbon 55гр бүхэл үрийн жигнэмэгтэй сүүтэй JPN', 'Шар тос Халбага 20ш*5гр Уламжлалт арга А К Е амин дэм Омега агуулсан MNG', 'Үрлэн чихэр G&G Schoko Rosinen 200гр Ууттай DEU']"
21,Йогурт Сайн 450мл 2.5% тослогтой Хар чавга Овьёостой MNG,"['Тараг Өлзий 450гр Хар чавга Олон төрлийн биологийн идэвхт бодистой MNG', 'Тараг Биофит BB12 500мл Хар чавга Ашигт бактери С амин дэмтэй MNG', 'Давс Шүдэн уулын 800гр Ягаан өнгөтэй нунтаг MNG', 'Жигнэмэг Та Чи Аз жаргал 200гр молокотой хөхүүл эхчүүдэд MNG', ""Кофе шингэн Let's be Americano 240мл лаазтай KOR"", 'Нойтон салфетка Дэгдээхий 10ширхэгтэй Хүүхдийн MNG', 'Хутгуур цай кофе хутгах зориулалттай 14ш нэг удаагийн хэрэгсэл', 'Бууз ЗА кг задгай хонины махан *25074* MNG', 'Тараг Амтлаг 500мл 0.1% тослог Гүзээлзгэнэ Ашигт бактери С амин дэм MNG', 'Цэлцэгнүүр Найзууд Dasha 250гр 022292 MNG']"
22,Жүүс Mon juice 500мл Үзэм чавганы пет савлагаатай MNG,"['Бохь Dirol 13,2гр*12ш XXL тарвастай боодолтой RUS', ""Кофе шингэн Let's be Americano 240мл лаазтай KOR"", 'Шоколад Alpen gold 85гр газрын самартай сүүтэй шоколад хавтгай шар RUS', 'Нойтон салфетка Kleenex 20ш бактерийн эсрэг KOR', 'Ус Гоё 450мл Байгалийн эрдэст Нимбэг жимсний амттай пет савлагаатай MNG', 'Жигнэмэг  Mc Vities 90гр цэвэр хар шоколадтай амтлаг GBR', 'Кофе  Jacobs  175гр  ууталж  савласан хөөсрөлттэй  сүү сахартай  KZ', 'Бэлэн хоол Doshirak Paldo 90гр Үхрийн махтай Дэвтээдэг KOR', 'Жүүс Golden Plum 946мл үзэмний пет савлагаатай MNG', 'Ус Bonaqua 8+ 500мл Ойн жимсний амттай пет савлагаатай MNG']"
23,Тэргүүн 450гр Атархишиг Kid's bakery,"[""Пирог 400гр Атар хишиг Kid's bakery 2708434"", 'Бохь Ulker Oneo fresh 31гр сэнгэнэсэн амттай хавтгай TUR', 'Шүдэнз-Суврага зурагтай Ахуйн хэрэглээнд зориулсан', 'Халаасны сальфетка Ариун 8*8ш Багц 2 өнгийн MNG', ""Жимст боов 200гр Атархишиг Kid's bakery 2708434"", 'Давс Шүдэн уулын жамц 800гр Ягаан болор нүдэн 3 янзын хэмжээтэй MNG', 'Цөцгийн тос President 400гр 82% тослогтой Уургаар баялаг FRA', 'Зайрмаг Melona  75гр гүзээлзгэнэтэй цөцгийтэй  KOR', 'Чихэр резинен HARIBO PFIRSICHE, STAFETEN 175гр Герман', 'Оргилуун ус UNFI San pellegrino 250 мл Органик USA']"
24,Амтлагч S&B Карри Golden чихэрлэг зөөлөн 92гр JPN,"['Элдсэн гурил Элдэвтэй энгийн 240гр 6ш бэлэн MNG', 'Бяслаг Моцарелла 250гр Сүүн зам Цэвэр сүүний MNG', 'Далайн байцаа Sajo 20гр  уламжлалт аргаар боловсруулсан KOR', 'Тахианы мөч Баялаг 750гр пакетласан MNG', 'Хэрчсэн гурил бүхэл үрийн 500гр Хүнс сервис', 'Бэлэн хоолSamyang spicy 120гр халуун ногоотой HALAL KOR', 'Далайн байцаа жижиг Kimnori 4гр халуун ногооны амттай KOR', 'Давс Royal Хималайн 500гр Ягаан иоджуулсан байгалийн эрдэсээр баялаг PAK', 'Нүүр цэвэрлэгч хөвөн ELKOS 140ш 100% хөвөн DEU', 'Зайдас 325гр савтай Хүн од MNG']"
25,Зай Monel AAA хэмжээтэй Alkaline (шүлттэй)  1.5V 4-р савлагдсан LR03-BP4,"['Тахианы гуя Баялаг 750гр пакетласан MNG', 'Амтлагч Лаврын навч Appetita 15гр хоолонд амт үнэр нэмнэ POL', 'Тахианы гуя За1кг уургаар баялаг RUS', 'Яншуй 50гр А В С К витамин кали манги кальци болон эрдэс бодисоор баялаг', 'Тараг Гоё 1350мл Чихэртэй Олон төрлийн биологийн идэвхт бодистой MNG', 'Соус Sriracha чили 520гр VNM', 'Паркетин шал угаагч Pronto 750мл Ахуйн цэвэрлэгээний Модны үнэртэй UKR', 'Гоймон MAKFA хүүхдийн 250г улаанбуудайн гурил эрдэс бодисоор баялаг RUS', 'Ургамлын тос Олейна 2000мл A D F E витамин 100% Наранцэцгийн тос RUS', 'Гоймон Нүүдэл 500гр шөлний татмал нарийн хэрчилттэй MNG']"
26,"Талх Олон үрийн холимог 350гр 50% хар, эрдэс бодисоор баялаг Кичинкинг MNG","['Тараг Органик 750мл Чихэртэй 2,5% тослог Кальци Фосфор амин дэмтэй MNG', 'Тараг Сайн Бифидо 900гр 2.5% тослогтой Бор сахартай Амин дэмээр баялаг MNG', 'Гоймон СОЮЗ Царь 400гр шпагетти  дээд сорт ууттай  RUS', 'Бяслаг  Ястро Rokler  Чизбургер  130 гр  хуудсан  RUS', 'Гүзээлзгэнэ 300гр В С витамин кальци фосфор калийн агууламжтай савалгаатай', 'Пиво Асахи супер драй 500мл  Alc 5% лаазтай  JPN', 'Ариун цэврийн цаас Kleenex Deco Soft 4ш 35м KOR', 'Сүү Өглөө 1000мл 3,2% тослогтой тетра савлагаатай слим MNG', 'Йогурт Danone Активиа 120гр Гүзээлзгэнэ жимстэй Дархлаа дэмжинэ KAZ', 'Хүүхдийн нухаш BabyBio 90гр алим нэрс гүзээлзгэнэтэй + 6сар  FRA']"
27,Ундаа Coca-Cola Zero Оргилуун Хүслийн 500мл сахаргүй пет савлагаа MNG,"['Гаа Halls 25гр олон төрлийн жимсний чихэрлэг амттай гаа олон өнгөтэй RUS', 'Бохь Dirol 13.6гр кокос гүзээлгэнэ жимс цагаан цэнхэр RUS', 'Бохь Dirol XXL 19гр сэнгэнэсэн хүчтэй гааны амттай бохь цэнхэр RUS', 'Ундаа Coca cola Coke Plus Оргилуун 500мл эслэгтэй пет савлагаатай', 'Бохь Dirol 13,2гр*12ш XXL жимстэй боодолтой RUS', 'Хутгуур цай кофе хутгах зориулалттай 14ш нэг удаагийн хэрэгсэл', 'Цай шингэн ICETEA 500мл чавганы пет савлагаатай MNG', 'Энергийн ундаа OFK Wake up 250мл лаазтай KOR', 'Ус Bubbly 450мл тоорын амттай хийжүүлсэн ус MNG', 'Бохь Dirol 13.6гр гааны сэнгэнэсэн хүчтэй амттай бохь гүн цэнхэр RUS']"
28,Сахлын татуурга Gillette 1ш 3 иртэй Эмзэг арьсанд зориулсан Эрэгтэй RUS,"['Порлон аяга таваг угаах зориулалттай 2 хос зөөлөн хатуу 2 талтай', 'Ариун, цэврийн цаас Ариун, голтой 1ш MNG', 'Жүүс Гоё шинэ 1.25л Олон жимст пет савлагаатай MNG', 'Сармис  Таван бондгор 200гр арилгасан вирус хавдрын эсрэг үйлчилгээтэй', 'Цагаан будаа Sunsea 1кг дээд сорт эрдэс агуулсан вакуум савалгаатай CHN', 'Элсэн чихэр Слава 650гр Цагаан өнгөтэй нарийн ширхэгтэй', 'Угаалгын нунтаг Tide 1.5кг Бүрэн автомат болон  Гар угаалга  Өнгөтэй RUS', 'Хуурай сальфетка Дэлбээ 400ш Зөөлөн Цагаан Ууттай том MNG', 'Өргөст хэмх Bagro 720мл хэрчсэн MNG', 'Гоймон Лапша сонгинотой туузан 300гр витаминлаг, төмөр, цайр агуулдаг MNG']"
29,Рашаан Ессентуки №4 500мл Байгалийн эрдэст пет савлагаатай RUS,"['Шагшуур Pepero 47гр шоколадтай хайрцагтайKOR', 'Жигнэмэг Bahlsen First class 125гр Сүүтэй Шоколадтай DEU', 'Шоколад Alpen gold 90гр нэрс жимс Oreo жигнэмэгний хавчуургатай RUS', 'Жүүс WBD Любимый 1л олон жимст бөглөөтэй тетра савлагаатай RUS', 'Шоколад Piasten Schoco Linsen 125гр товчин хэлбэртэй DUE', 'Үрэл Зөв чацарганатай аарцан 85гр ууттай MNG', 'Үрэл Зөв 450гр аарцан үрэл энгийн ууттай MNG', 'Шоколад Alpen gold 85гр самар сүүтэй шоколад хавтгай ногоон RUS', 'Шоколад Alpen gold 95гр гүзээлзгэнэ ореотой шоколад хавтгай ягаан RUS', 'Ааруул Дээж 400гр Жимстэй Уураг Кальцийн агууламж өндөр MNG']"
30,Набор Storck Toffifee 400гр шоколад ирис самарны нийлэмж CHE,"['Үрэл үзэмтэй Shoko Rosinen 200гр ууттай DEU', 'Үрэл Зөв 450гр аарцан үрэл энгийн ууттай MNG', 'Жүүс WBD Любимый 2л алимны амт бөглөөтэй тетра савлагаатай RUS', 'Шоколад Alpen gold 85гр самар сүүтэй шоколад хавтгай ногоон RUS', 'Жигнэмэг Чоко пай Orion 30гр*12ш Blackcurrant нил ягаан RUS', 'Салат Дунай Urbanek 520гр өргөст хэмх лууван чинжүүтэй POL', 'Үрэл Berry Vit 85гр нэрстэй үзэмтэй ууттай MNG', 'Шоколад Alpen gold 95гр OREO жигнэмэгтэй цагаан RUS', 'Шүдэнз 7*5*3см 2 талдаа зуруултай Модон ахуйн зориулалттай', 'Шагшуур Pepero 47гр шоколадтай хайрцагтайKOR']"
